year,country,country_url,region_code,region,rank_per_region,overall_rank,happiness_score,happiness_status,gdp_per_capita,family,social_support,healthy_life_expectancy,freedom_life_choices,generosity,corruption
2016,Mongolia,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg,142.0,ASIA,30.0,101,4.907,Amber,0.9885299999999999,1.0898299999999999,,0.55469,0.35972,0.03285,0.34539000000000003
2016,Laos,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,142.0,ASIA,31.0,102,4.876,Amber,0.68042,0.5497,,0.38291,0.52168,0.22423,0.43078999999999995
2016,Nigeria,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,2.0,AFRICA,7.0,103,4.875,Amber,0.75216,0.64498,,0.05108,0.27854,0.0305,0.23219
2016,Honduras,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,19.0,AMERICAS,25.0,104,4.871,Amber,0.69429,0.7559600000000001,,0.5838300000000001,0.26755,0.06906,0.2044
2016,Iran,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,142.0,ASIA,32.0,105,4.813,Amber,1.11758,0.38856999999999997,,0.64232,0.22544,0.0557,0.38538
2016,Zambia,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg,2.0,AFRICA,8.0,106,4.795,Amber,0.61202,0.6376,,0.23573000000000002,0.42662,0.11479,0.17865999999999999
2016,Nepal,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg,142.0,ASIA,33.0,107,4.793,Amber,0.44626000000000005,0.69699,,0.50073,0.37012,0.07007999999999999,0.3816
2016,Palestinian Territories,,,Nan,,108,4.754,Amber,0.67024,0.71629,,0.56844,0.17744000000000001,0.10613,0.11154000000000001
2016,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150.0,EUROPE,36.0,109,4.655,Amber,0.9553,0.50163,,0.73007,0.31866,0.05301,0.1684
2016,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142.0,ASIA,34.0,110,4.643,Amber,0.54177,0.24749000000000002,,0.52989,0.39778,0.12583,0.19132000000000002
2016,Sierra Leone,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,2.0,AFRICA,9.0,111,4.635,Amber,0.36485,0.628,,0.0,0.30685,0.08196,0.23897
2016,Iraq,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,142.0,ASIA,35.0,112,4.575,Amber,1.07474,0.59205,,0.51076,0.24856,0.13635999999999998,0.19589
2016,Namibia,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg,2.0,AFRICA,10.0,113,4.574,Amber,0.9328700000000001,0.70362,,0.34745,0.48613999999999996,0.10397999999999999,0.07795
2016,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2.0,AFRICA,11.0,114,4.513,Amber,0.5249699999999999,0.62542,,0.12697999999999998,0.42736,0.06126,0.2268
2016,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,2.0,AFRICA,12.0,115,4.508,Amber,0.29283000000000003,0.37932,,0.34578000000000003,0.36703,0.1717,0.29522
2016,South Africa,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,2.0,AFRICA,13.0,116,4.459,Amber,1.02416,0.9605299999999999,,0.18611,0.42483000000000004,0.08415,0.13656
2016,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg,142.0,ASIA,36.0,117,4.415,Amber,0.9731799999999999,0.84783,,0.62007,0.50817,0.07964,0.46978000000000003
2016,India,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,142.0,ASIA,37.0,118,4.404,Amber,0.74036,0.29247,,0.45091000000000003,0.40285,0.08722,0.25028
2016,Myanmar,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,142.0,ASIA,38.0,119,4.395,Amber,0.34112,0.69981,,0.3988,0.42691999999999997,0.20243,0.81971
2016,Egypt,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,2.0,AFRICA,14.0,120,4.362,Amber,0.95395,0.49813,,0.5211600000000001,0.18847,0.10393,0.12705999999999998
2016,Armenia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,142.0,ASIA,39.0,121,4.36,Amber,0.8608600000000001,0.6247699999999999,,0.64083,0.14037,0.036160000000000005,0.07793
2016,Kenya,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,2.0,AFRICA,15.0,122,4.356,Amber,0.52267,0.7624,,0.30146999999999996,0.40576,0.06686,0.41328000000000004
2016,Ukraine,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,150.0,EUROPE,37.0,123,4.324,Amber,0.87287,1.01413,,0.58628,0.12859,0.01829,0.20363
2016,Ghana,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,2.0,AFRICA,16.0,124,4.276,Amber,0.63107,0.49353,,0.29681,0.40973000000000004,0.0326,0.21203000000000002
2016,Congo (Kinshasa),,,Nan,,125,4.272,Amber,0.05661,0.80676,,0.188,0.15602,0.06075,0.25458000000000003
