year,country,happiness_score,happiness_status
2018,Netherlands,7.441,Green
2018,Canada,7.327999999999999,Green
2018,New Zealand,7.324,Green
2018,Sweden,7.314,Green
2018,Australia,7.272,Green
2018,United Kingdom,7.19,Green
2018,Austria,7.138999999999999,Green
2018,Costa Rica,7.072,Green
2018,Ireland,6.977,Green
2018,Germany,6.965,Green
2018,Belgium,6.9270000000000005,Green
2018,Luxembourg,6.91,Green
2018,United States,6.886,Green
2018,Israel,6.814,Green
2018,United Arab Emirates,6.774,Green
2018,Czech Republic,6.711,Green
2018,Malta,6.627000000000001,Green
2018,France,6.489,Green
2018,Mexico,6.4879999999999995,Green
2018,Chile,6.476,Green
2018,Taiwan,6.441,Green
2018,Panama,6.43,Green
2018,Brazil,6.419,Green
2018,Argentina,6.388,Green
2018,Guatemala,6.382000000000001,Green
2018,Uruguay,6.379,Green
2018,Qatar,6.374,Green
2018,Saudi Arabia,6.371,Green
2018,Singapore,6.343,Green
2018,Malaysia,6.322,Green
2018,Spain,6.31,Green
2018,Colombia,6.26,Green
2018,Trinidad & Tobago,6.192,Green
2018,Slovakia,6.172999999999999,Green
2018,El Salvador,6.167000000000001,Green
2018,Nicaragua,6.141,Green
2018,Poland,6.122999999999999,Green
2018,Bahrain,6.105,Green
2018,Uzbekistan,6.096,Green
2018,Kuwait,6.082999999999999,Green
2018,Thailand,6.072,Green
2018,Italy,6.0,Green
2018,Ecuador,5.973,Green
2018,Belize,5.956,Green
2018,Lithuania,5.952000000000001,Green
2018,Slovenia,5.9479999999999995,Green
2018,Romania,5.945,Green
2018,Latvia,5.933,Green
2018,Japan,5.915,Green
2018,Mauritius,5.891,Green
2018,Jamaica,5.89,Green
2018,South Korea,5.875,Green
2018,Northern Cyprus,5.835,Green
2018,Russia,5.81,Green
2018,Kazakhstan,5.79,Green
2018,Cyprus,5.7620000000000005,Green
2018,Bolivia,5.752000000000001,Green
2018,Estonia,5.739,Green
2018,Paraguay,5.681,Green
2018,Peru,5.662999999999999,Green
2018,Kosovo,5.662000000000001,Green
2018,Moldova,5.64,Green
2018,Turkmenistan,5.636,Green
2018,Hungary,5.62,Green
2018,Libya,5.566,Amber
2018,Philippines,5.524,Amber
2018,Honduras,5.504,Amber
2018,Belarus,5.483,Amber
2018,Turkey,5.483,Amber
